text,sentiment,hate_speech
"Fox News сообщил об усилении группировки России в Сирии вопреки поручению Путина, первый раз когда поручение не сработало! https://t.co/2syKk9Q1c1",0,0
Шок! План Даллеса 2. Возвращение https://t.co/ICDXH04Zkv,0,0
NYT в свою очередь спросило: who the fuck is Pychkov? https://t.co/9LX1lQ3jDI,0,1
"""Они все стильненькие.Потому что они дети коррупционеров.""  Так @VRSoloviev вы тоже ""стильненький"" еще и с айфоном.Коррупционер или лицемер? https://t.co/YPTUZIYJbn",-1,3
"'-Мам, хочу поиграть! - Нельзя сына, ты не здоровый, высокий и сильный голубоглазый ариец. Ты больной и маленький. https://t.co/lgNOiKJJFA'",-1,2
"""Разбудите меня лет через сто, и спросите, что сейчас делается в России. И я отвечу- воруют, снимают плохое кино и кхе,кхе"" https://t.co/XCZWT1bXJY",0,0
Телеканал Russia Today может прекратить вещание в США из-за давления Вашингтона.  И среди этих умалишенных мы живем,-1,1
Пиво без водки - Россия на ветер https://t.co/DHpc9ocIvw,0,0
Маразм крепчал https://t.co/tqhdHePcsc,-1,0
"Что сложного в том, чтобы сделать гипсовый слепок лепнины и отлить нормальной формы? https://t.co/3gYRNJrSBD",0,0
"В Москве девушка на внедорожнике протаранила машину полиции. И да, ей так можно - она дочка «полковника ФСБ».   Впрочем ничего нового... https://t.co/Er598OcD8x",0,0
"Российский миллионер,член попечительского совета Фонда поддержки Русской православной церкви попался на изнасиловании школьниц  Православно https://t.co/lmOHfELdKf",0,0
"'@vvmaltsev все там описано в законе+это мировая практика (careless или dangerous driving) другое дело,как он будет у нас работать,соглашусь)'",0,0
"Послание Федеральному собранию-2016: поразительные изменения! ""Кхе-кхе"" сменилось на ""кхм-кхм""",0,0
"Сдача Зенит-Арены в Петербурге откладывается на три месяца. Просто привезли еще денег, не успели распилить https://t.co/HraWO256gw",-1,0
Разница как между Северной Кореей и Южной. https://t.co/i6AtgUxfge,0,0
"Илон Маск покроет расходы хозяина Tesla, предотвратившего ДТП ценой своего авто. Сечин обещал 500 млрд руб. за отмену монополии «Газпрома»",0,0
